wikidata,local_id,osm_id,geom,wikidataLabel
http://www.wikidata.org/entity/Q1871362,1100254,325892,Point(-61.900833333 -11.175833333),Presidente Médici
http://www.wikidata.org/entity/Q1786495,1100262,325848,Point(-62.899722222 -9.702222222),Rio Crespo
http://www.wikidata.org/entity/Q1784242,1100288,325876,Point(-61.777758333 -11.725430555),Rolim de Moura
http://www.wikidata.org/entity/Q1802100,1100296,325862,Point(-61.778888888 -11.908055555),Santa Luzia d'Oeste
http://www.wikidata.org/entity/Q1749958,1100304,325887,Point(-60.145833333 -12.740555555),Vilhena
http://www.wikidata.org/entity/Q1807456,1100320,325863,Point(-62.7114 -11.6936),São Miguel do Guaporé
http://www.wikidata.org/entity/Q993507,1100338,325849,Point(-65.326666666 -10.401944444),Nova Mamoré
http://www.wikidata.org/entity/Q1786028,1100346,325853,Point(-62.286111111 -11.341666666),Alvorada d'Oeste
http://www.wikidata.org/entity/Q1802050,1100379,325858,Point(-61.850833333 -12.127777777),Alto Alegre dos Parecis
http://www.wikidata.org/entity/Q607036,1100403,325870,Point(-63.320833333 -9.713055555),Alto Paraíso
http://www.wikidata.org/entity/Q1921800,1100452,325859,Point(-63.828888888 -10.211944444),Buritis
http://www.wikidata.org/entity/Q2013150,1100502,325865,Point(-62.0 -11.71),Novo Horizonte do Oeste
http://www.wikidata.org/entity/Q1750177,1100601,325847,Point(-62.895277777 -10.339166666),Cacaulândia
http://www.wikidata.org/entity/Q2089179,1100700,325871,Point(-63.61222222 -10.59694444),Campo Novo de Rondônia
http://www.wikidata.org/entity/Q2078405,1100809,325890,Point(-63.69555556 -8.80972222),Candeias do Jamari
http://www.wikidata.org/entity/Q1785860,1100908,325891,Point(-61.938611111 -11.4175),Castanheiras
http://www.wikidata.org/entity/Q735454,1100924,325852,Point(-60.899722222 -12.552222222),Chupinguaia
http://www.wikidata.org/entity/Q1803135,1100940,325880,Point(-62.585277777 -9.362777777),Cujubim
http://www.wikidata.org/entity/Q964725,1101005,325894,Point(-62.643888888 -10.525),Governador Jorge Teixeira
http://www.wikidata.org/entity/Q1802170,1101104,325893,Point(-63.18 -9.202222222),Itapuã do Oeste
http://www.wikidata.org/entity/Q775204,1101203,325889,Point(-61.51694444 -11.19694444),Ministro Andreazza
http://www.wikidata.org/entity/Q2079711,1101302,325875,Point(-62.675 -11.02972222),Mirante da Serra
http://www.wikidata.org/entity/Q2014320,1101401,325873,Point(-63.32527778 -10.29444444),Monte Negro
http://www.wikidata.org/entity/Q2364475,1101435,325846,Point(-62.560833333 -10.903888888),Nova União
