donor_id,filename_original,package_path,de_sha256,para_url
2501,eixos-utf8.zip,BR/data/SP/Jundiai/_pk0025.01,345dd856ecdb612e684ef7a1c3592bfd8d62dfb4c8b2a87eb8cc4750ebb782f5.zip,https://addressforall-my.sharepoint.com/personal/operacao_addressforall_org/_layouts/15/download.aspx?share=EdyCg32Wx9pPrjTMs7MzzQQBihEEY_LXHHZ_CMOhIRBWNw
2501,via-utf.zip,BR/data/SP/Jundiai/_pk0025.01,062c98c3fc074c76a5ff8d1bb3ad97b120d4a60d2e75c835fd6ff096f466da58.zip,https://addressforall-my.sharepoint.com/personal/operacao_addressforall_org/_layouts/15/download.aspx?share=Eelii23tQH9FgZL3CeU3hUwB4v4MfG0aHzPw86XQh4zgfg
2001,arquivos.zip,UY/data/_pk0002.01/,09b7f7675126394a1c32c059ac10c9b2551bf55a113c17ee75530c544e7fa0d2.zip,https://addressforall-my.sharepoint.com/personal/operacao_addressforall_org/_layouts/15/download.aspx?share=Eb8U3uxuBTxMtDm7WUL6aF0BLeb1trDtHstcUP7WqQJYJQ
2001,uniao.zip,UY/data/_pk0002.01/,2939e7ae1ee8801dd10619301ec034afb5c37d68b440a4d3f2b8416d30c1c13b.zip,https://addressforall-my.sharepoint.com/personal/operacao_addressforall_org/_layouts/15/download.aspx?share=ESEajimT0ARNrSwxRRVsERoBBQCEr7bER3xUX6II-SJqIg
201,Baruta_Base.rar,VE/data/M/Baruta/_pk0002.01,06c5461d0c7bdebd504d4033bab337b2d7a4aa236562e0704b9e49bc926a1fba.rar,https://addressforall-my.sharepoint.com/personal/operacao_addressforall_org/_layouts/15/download.aspx?share=EVsqI7I1-r9Nq0mUtYOwip0BF6vUZV7D9TclctDD_B8JSg
201,CALLES.zip,CL/data/LL/PuertoMontt/_pk0002.01,7c1cd5cd90518c829dae09cb6b94eaa67979a945e318e469e9d2a1126d037864.zip,https://addressforall-my.sharepoint.com/personal/operacao_addressforall_org/_layouts/15/download.aspx?share=EQuKHpJaDrxEp9G3iLJt-KoBi8wXI3iW6jkRvPNNvmX1hA
14101,Municipio de Itajai_SC.rar,BR/data/SC/Itajai/_pk0141.01,b69cef94c0fad1a99013289fd30eb3ad0d612e227547f1a95cbd104716980263.rar,https://addressforall-my.sharepoint.com/personal/operacao_addressforall_org/_layouts/15/download.aspx?share=ERbtXHVOmTxPtic5ZmuctwwB8WqFewCywYvonX5mFMzEwA
14501,AddressForAll.rar,BR/data/SP/Jacarei/_pk0145.01,16075eaba18c74d131e46efacfc88a43cd6154696fd6dbf96f29fecf2fbca54e.rar,https://addressforall-my.sharepoint.com/personal/operacao_addressforall_org/_layouts/15/download.aspx?share=ESUJwmDOE5ZNqbVmqRcZXSkBqttLh2P_6jkd6fHzuddJ-Q
14601,archive.zip,BR/data/PR/Umuarama/_pk0146.01,c7e8f19fa27fc1e515c43383403b54291ad39aa39e09cd5d96d30e6385942a8a.zip,https://addressforall-my.sharepoint.com/personal/operacao_addressforall_org/_layouts/15/download.aspx?share=EYP7RxAFXOdLg_QFbx4TNF8BcIHdkM-mlLmxIQY7n3pUJA
201,Villa_Giardino_Barrios.zip,AR-X-VillaGiardino        ,d2467a31bb75e253854fe98a568b8e28f9f876d8fe1fc1fc4e085834c7616e28.zip,https://addressforall-my.sharepoint.com/personal/operacao_addressforall_org/_layouts/15/download.aspx?share=ETYqNI9hcMZPjiBA9z8bJCMBJY9oENZEOLp3Dgz8AT86-Q
